,DateTime,Open,High,Low,Close,Volume,Count,WAP,20SMA
0,2021-09-22 21:15:00,1.1686,1.16944,1.16927,1.1686,-1,-1,-1.0,
1,2021-09-22 22:00:00,1.16927,1.16948,1.16939,1.16919,-1,-1,-1.0,
2,2021-09-22 23:00:00,1.16939,1.16942,1.16871,1.16867,-1,-1,-1.0,
3,2021-09-23 00:00:00,1.16871,1.16897,1.16889,1.16834,-1,-1,-1.0,
4,2021-09-23 01:00:00,1.16889,1.16949,1.16949,1.16863,-1,-1,-1.0,
5,2021-09-23 02:00:00,1.16949,1.16988,1.16972,1.16895,-1,-1,-1.0,
6,2021-09-23 03:00:00,1.16972,1.17094,1.17068,1.16972,-1,-1,-1.0,
7,2021-09-23 04:00:00,1.17068,1.17097,1.17095,1.17051,-1,-1,-1.0,
8,2021-09-23 05:00:00,1.17095,1.17132,1.17094,1.17076,-1,-1,-1.0,
9,2021-09-23 06:00:00,1.17094,1.17174,1.17147,1.17063,-1,-1,-1.0,
10,2021-09-23 07:00:00,1.17147,1.17244,1.1715,1.17058,-1,-1,-1.0,
11,2021-09-23 08:00:00,1.1715,1.17292,1.17209,1.171,-1,-1,-1.0,
12,2021-09-23 09:00:00,1.17209,1.17325,1.1722,1.17195,-1,-1,-1.0,
13,2021-09-23 10:00:00,1.1722,1.17259,1.17163,1.17112,-1,-1,-1.0,
14,2021-09-23 11:00:00,1.17163,1.172,1.17153,1.17114,-1,-1,-1.0,
15,2021-09-23 12:00:00,1.17153,1.17325,1.1729,1.17141,-1,-1,-1.0,
16,2021-09-23 13:00:00,1.1729,1.17397,1.17389,1.17214,-1,-1,-1.0,
17,2021-09-23 14:00:00,1.17389,1.17499,1.17487,1.17376,-1,-1,-1.0,
18,2021-09-23 15:00:00,1.17487,1.17501,1.17342,1.17326,-1,-1,-1.0,
19,2021-09-23 16:00:00,1.17342,1.17444,1.17441,1.17305,-1,-1,-1.0,1.1706705
20,2021-09-23 17:00:00,1.17441,1.1749,1.17487,1.17432,-1,-1,-1.0,1.1709565
21,2021-09-23 18:00:00,1.17487,1.17487,1.17467,1.17433,-1,-1,-1.0,1.1712135000000001
22,2021-09-23 19:00:00,1.17467,1.17489,1.17419,1.17411,-1,-1,-1.0,1.1714855
23,2021-09-23 20:00:00,1.17419,1.17422,1.17385,1.17355,-1,-1,-1.0,1.171746
24,2021-09-23 21:15:00,1.17365,1.17402,1.17393,1.17363,-1,-1,-1.0,1.1719959999999998
25,2021-09-23 22:00:00,1.17393,1.17433,1.1742,1.17393,-1,-1,-1.0,1.172245
26,2021-09-23 23:00:00,1.1742,1.17458,1.17451,1.17409,-1,-1,-1.0,1.1724634999999999
27,2021-09-24 00:00:00,1.17451,1.17476,1.1746,1.17424,-1,-1,-1.0,1.1726500000000002
28,2021-09-24 01:00:00,1.1746,1.17466,1.17389,1.17386,-1,-1,-1.0,1.1728049999999999
29,2021-09-24 02:00:00,1.17389,1.17405,1.17402,1.17379,-1,-1,-1.0,1.172963
30,2021-09-24 03:00:00,1.17402,1.17431,1.17411,1.17393,-1,-1,-1.0,1.1731304999999999
31,2021-09-24 04:00:00,1.17411,1.17419,1.17371,1.1736,-1,-1,-1.0,1.1732605
32,2021-09-24 05:00:00,1.17371,1.17395,1.17369,1.17358,-1,-1,-1.0,1.1733419999999999
33,2021-09-24 06:00:00,1.17369,1.17415,1.17351,1.1731,-1,-1,-1.0,1.173441
34,2021-09-24 07:00:00,1.17351,1.17411,1.17383,1.17311,-1,-1,-1.0,1.1735395
35,2021-09-24 08:00:00,1.17383,1.17405,1.17358,1.17309,-1,-1,-1.0,1.1736235000000002
36,2021-09-24 09:00:00,1.17358,1.17382,1.17347,1.17332,-1,-1,-1.0,1.1736825000000002
37,2021-09-24 10:00:00,1.17347,1.17374,1.17345,1.17281,-1,-1,-1.0,1.173635
38,2021-09-24 11:00:00,1.17345,1.17369,1.17137,1.17127,-1,-1,-1.0,1.1735355
39,2021-09-24 12:00:00,1.17137,1.17197,1.17066,1.17066,-1,-1,-1.0,1.173416
40,2021-09-24 13:00:00,1.17066,1.17196,1.17115,1.17007,-1,-1,-1.0,1.1732035
41,2021-09-24 14:00:00,1.17115,1.17163,1.1713,1.17042,-1,-1,-1.0,1.1730079999999998
42,2021-09-24 15:00:00,1.1713,1.17165,1.17135,1.17071,-1,-1,-1.0,1.172838
43,2021-09-24 16:00:00,1.17135,1.17253,1.17161,1.17128,-1,-1,-1.0,1.1727245
44,2021-09-24 17:00:00,1.17161,1.17202,1.17176,1.17143,-1,-1,-1.0,1.1726145000000001
45,2021-09-24 18:00:00,1.17176,1.17182,1.17159,1.17132,-1,-1,-1.0,1.172484
46,2021-09-24 19:00:00,1.17159,1.17169,1.17163,1.1714,-1,-1,-1.0,1.1723495
47,2021-09-24 20:00:00,1.17163,1.17222,1.17187,1.17156,-1,-1,-1.0,1.1722154999999999
